,City,Cloudiness,Country,Humidity,Date,Lat,Lng,Max Temp,Windspeed
0,phalaborwa,52.0,ZA,94.0,1576111102,-23.95,31.14,22.0,1.5
1,uyemskiy,75.0,RU,73.0,1576111209,64.47,40.85,-3.0,4.0
2,puerto ayora,20.0,EC,65.0,1576111209,-0.74,-90.35,25.0,7.7
3,vaini,2.0,IN,93.0,1576111209,15.34,74.49,16.0,1.26
4,tuktoyaktuk,5.0,CA,69.0,1576111210,69.44,-133.03,-25.0,7.7
5,carnarvon,0.0,ZA,41.0,1576111210,-30.97,22.13,18.1,5.9
6,riva,75.0,ES,87.0,1576111211,43.28,-3.56,12.78,7.2
7,cabo san lucas,40.0,MX,68.0,1576110976,22.89,-109.91,23.33,2.1
8,saint-philippe,75.0,CA,63.0,1576111211,45.36,-73.48,-3.0,9.8
9,te anau,89.0,NZ,93.0,1576111211,-45.41,167.72,12.71,2.41
10,norman wells,5.0,CA,75.0,1576111211,65.28,-126.83,-26.0,4.1
12,luderitz,0.0,NA,93.0,1576111211,-26.65,15.16,16.0,4.6
13,pipri,94.0,IN,73.0,1576111211,24.21,83.02,12.92,2.11
14,constitucion,5.0,MX,25.0,1576111211,23.99,-104.67,19.0,1.0
15,hermanus,14.0,ZA,81.0,1576111211,-34.42,19.24,19.44,3.58
16,atuona,76.0,PF,69.0,1576111211,-9.8,-139.03,26.4,5.82
17,mataura,100.0,NZ,52.0,1576111211,-46.19,168.86,22.58,1.6
18,punta arenas,75.0,CL,57.0,1576111211,-53.16,-70.91,11.0,10.8
19,sioux lookout,5.0,CA,69.0,1576111211,50.1,-91.92,-21.0,2.6
20,dubbo,40.0,AU,23.0,1576111211,-32.25,148.6,28.0,4.6
21,thompson,5.0,CA,74.0,1576111211,55.74,-97.86,-31.0,1.5
22,albany,75.0,US,87.0,1576111211,42.65,-73.75,0.0,2.6
23,hilo,75.0,US,69.0,1576111211,19.71,-155.08,27.0,5.7
24,sao joao da barra,100.0,BR,90.0,1576110930,-21.64,-41.05,24.18,7.87
25,san patricio,0.0,PY,48.0,1576111212,-26.98,-56.83,26.54,1.52
26,bredasdorp,42.0,ZA,82.0,1576111212,-34.53,20.04,19.44,5.7
27,avarua,82.0,CK,83.0,1576111212,-21.21,-159.78,27.0,7.2
28,bartica,90.0,GY,100.0,1576111212,6.41,-58.62,24.0,2.1
29,mapiri,100.0,BO,97.0,1576111212,-15.31,-68.22,20.58,0.38
30,makakilo city,1.0,US,66.0,1576111212,21.35,-158.09,29.0,4.1
31,selty,81.0,RU,85.0,1576111212,57.31,52.14,-6.58,4.11
32,bambous virieux,40.0,MU,88.0,1576111212,-20.34,57.76,26.67,0.5
33,khatanga,100.0,RU,88.0,1576111212,71.98,102.47,-22.62,3.92
34,portland,1.0,US,73.0,1576111188,43.66,-70.25,-2.78,2.1
35,busselton,16.0,AU,24.0,1576111212,-33.64,115.35,28.33,5.76
36,port moresby,100.0,PG,83.0,1576111213,-9.47,147.16,27.42,5.91
37,ushuaia,40.0,AR,65.0,1576111095,-54.81,-68.31,9.0,12.9
38,tornio,90.0,FI,96.0,1576111213,61.12,27.27,0.0,5.7
39,barrow,50.0,AR,70.0,1576111213,-38.31,-60.23,17.77,4.22
40,victoria,75.0,BN,83.0,1576111213,5.28,115.24,27.0,2.1
41,qaanaaq,0.0,GL,52.0,1576111213,77.48,-69.36,-20.78,3.03
42,lebu,75.0,ET,87.0,1576111213,8.96,38.73,11.0,1.5
43,kaitangata,100.0,NZ,81.0,1576111213,-46.28,169.85,15.56,4.47
45,tshane,0.0,BW,28.0,1576111213,-24.02,21.87,23.92,2.87
46,saint-pierre,75.0,FR,100.0,1576111214,48.95,4.24,5.0,5.7
